country,gdp
Africa Eastern and Southern,9.80E+11
Afghanistan,19291104008
Africa Western and Central,7.92E+11
Angola,89417190341
Albania,15286612573
Andorra,3155065488
Arab World,2.74E+12
United Arab Emirates,4.21E+11
Argentina,4.45E+11
Armenia,13672802158
American Samoa,638000000
Antigua and Barbuda,1661962963
Australia,1.40E+12
Austria,4.45E+11
Azerbaijan,48174235294
Burundi,3012308946
Belgium,5.33E+11
Benin,14391686309
Burkina Faso,15990803570
Bangladesh,3.03E+11
Bulgaria,68558815112
Bahrain,38474521277
Bahamas,13578800000
Bosnia and Herzegovina,20202479538
Belarus,64409647194
Belize,1982518541
Bermuda,7484113000
Bolivia,40895322851
Brazil,1.88E+12
Barbados,5209000000
Brunei Darussalam,13469422941
Bhutan,2530547158
Botswana,18362348888
Central African Republic,2220307319
Canada,1.74E+12
Central Europe and the Baltics,1.67E+12
Switzerland,7.32E+11
Chile,2.79E+11
People's Republic of China,1.43E+13
Côte d'Ivoire,58539424930
Cameroon,39007354359
"Congo, Dem. Rep.",50400746171
"Congo, Rep.",12693562948
Colombia,3.23E+11
Comoros,1165839900
Cabo Verde,1981845741
Costa Rica,63951114302
Caribbean small states,76644400521
Cuba,1.03E+11
Curacao,3101787709
Cayman Islands,5935769351
Cyprus,24949065264
Czech Republic,2.52E+11
Germany,3.89E+12
Djibouti,3324634256
Dominica,574607407.4
Denmark,3.48E+11
Dominican Republic,88941299734
Algeria,1.71E+11
East Asia & Pacific (excluding high income),1.71E+13
Early-demographic dividend,1.15E+13
East Asia & Pacific,2.70E+13
Europe & Central Asia (excluding high income),3.49E+12
Europe & Central Asia,2.29E+13
Ecuador,1.08E+11
Egypt,3.03E+11
Euro area,1.34E+13
Spain,1.39E+12
Estonia,31045591753
Ethiopia,95912590628
European Union,1.57E+13
Fragile and conflict affected situations,1.65E+12
Finland,2.69E+11
Fiji,5496250694
France,2.73E+12
Faroe Islands,3126293220
"Micronesia, Fed. Sts.",408060600
Gabon,16874450215
Great Britain,2.83E+12
Georgia,17477255562
Ghana,67234292583
Guinea,13513809258
"Gambia, The",1826073740
Guinea-Bissau,1439638443
Equatorial Guinea,11417278045
Greece,2.05E+11
Grenada,1211403704
Guatemala,77020015201
Guam,6311000000
Guyana,5173759528
High income,5.50E+13
"Hong Kong, China",3.63E+11
Honduras,25089976947
Heavily indebted poor countries (HIPC),7.92E+11
Croatia,60752588976
Haiti,14332163266
Hungary,1.64E+11
IBRD only,3.11E+13
IDA & IBRD total,3.34E+13
IDA total,2.23E+12
IDA blend,9.87E+11
Indonesia,1.12E+12
IDA only,1.25E+12
India,2.87E+12
Ireland,3.99E+11
Islamic Republic of Iran,2.58E+11
Iraq,2.22E+11
Iceland,24857740445
Israel,3.95E+11
Italy,2.00E+12
Jamaica,15830768550
Jordan,44502895915
Japan,5.15E+12
Kazakhstan,1.82E+11
Kenya,95503088538
Kyrgyzstan,8871019823
Cambodia,27089389787
Kiribati,194647201.9
St. Kitts and Nevis,1044711111
Republic of Korea,1.65E+12
Kuwait,1.36E+11
Latin America & Caribbean (excluding high income),4.84E+12
Lao PDR,18245925331
Lebanon,51991634492
Liberia,3070518100
Libya,52091152228
St. Lucia,2122450630
Latin America & Caribbean,5.62E+12
Least developed countries: UN classification,1.13E+12
Low income,4.46E+11
Sri Lanka,83975584254
Lower middle income,7.73E+12
Low & middle income,3.22E+13
Lesotho,2366213069
Late-demographic dividend,2.29E+13
Lithuania,54639938780
Luxembourg,71104919108
Latvia,34055464655
"Macao SAR, China",55153707949
Morocco,1.20E+11
Monaco,7423709840
Republic of Moldova,11968699006
Madagascar,14191911512
Maldives,5642179170
Middle East & North Africa,3.36E+12
Mexico,1.27E+12
Marshall Islands,239462200
Middle income,3.17E+13
North Macedonia,12547086168
Mali,17281815734
Malta,15215714309
Myanmar,79844294296
Middle East & North Africa (excluding high income),1.31E+12
Montenegro,5542674765
Mongolia,13996719329
Northern Mariana Islands,1182000000
Mozambique,15291448212
Mauritania,7600650038
Mauritius,14046337855
Malawi,10862613622
Malaysia,3.65E+11
North America,2.32E+13
Namibia,12565772085
Niger,12911689659
Nigeria,4.48E+11
Nicaragua,12611218627
Netherlands,9.10E+11
Norway,4.06E+11
Nepal,34186180695
Nauru,118223430.1
New Zealand,2.13E+11
OECD members,5.39E+13
Oman,76331518669
Other small states,4.33E+11
Pakistan,2.78E+11
Panama,66787900000
Peru,2.28E+11
Philippines,3.77E+11
Palau,268354900
Papua New Guinea,24829107011
Poland,5.96E+11
Pre-demographic dividend,1.40E+12
Puerto Rico,1.05E+11
"Korea, Dem. People's Rep.",
Portugal,2.40E+11
Paraguay,37906944075
West Bank and Gaza,17133500000
Pacific island small states,10637424278
Post-demographic dividend,5.09E+13
Qatar,1.76E+11
Romania,2.50E+11
Russian Federation,1.69E+12
Rwanda,10355974217
South Asia,3.60E+12
Saudi Arabia,7.93E+11
Sudan,32250448249
Senegal,23306213742
Singapore,3.74E+11
Solomon Islands,1570215577
Sierra Leone,4121733705
El Salvador,26896660000
San Marino,1616369646
Somalia,4942319041
Serbia,51475016532
Sub-Saharan Africa (excluding high income),1.77E+12
Sub-Saharan Africa,1.77E+12
Small states,5.20E+11
Sao Tome and Principe,427425039.7
Suriname,4221373022
Slovakia,1.05E+11
Slovenia,54178877606
Sweden,5.34E+11
Eswatini,4471598727
Sint Maarten (Dutch part),
Seychelles,1581380269
Turks and Caicos Islands,1197415000
Chad,11314951343
East Asia & Pacific (IDA & IBRD countries),1.71E+13
Europe & Central Asia (IDA & IBRD countries),4.15E+12
Togo,7220395248
Thailand,5.44E+11
Tajikistan,8300784857
Turkmenistan,45231428571
Latin America & the Caribbean (IDA & IBRD countries),5.37E+12
Timor-Leste,2017924900
Middle East & North Africa (IDA & IBRD countries),1.29E+12
Tonga,512350059.4
South Asia (IDA & IBRD),3.60E+12
Sub-Saharan Africa (IDA & IBRD countries),1.77E+12
Trinidad and Tobago,23208326548
Tunisia,39195716330
Turkey,7.61E+11
Tuvalu,47271463.33
Tanzania,61136873747
Uganda,35170037381
Ukraine,1.54E+11
Upper middle income,2.40E+13
Uruguay,61231149881
United States of America,2.14E+13
Uzbekistan,57726542785
St. Vincent and the Grenadines,824718518.5
Vietnam,2.62E+11
Vanuatu,930337960
World,8.74E+13
Samoa,852250191
